"filename", "language", "CSS", "HTML", "TypeScript", "XML", "comment", "blank", "total"
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\navbar\navbar.component.ts", "TypeScript", 0, 0, 94, 0, 0, 12, 106
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\registration\registration.component.css", "CSS", 18, 0, 0, 0, 1, 3, 22
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\registration\registration.component.html", "HTML", 0, 53, 0, 0, 0, 1, 54
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\registration\registration.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 6, 24
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\registration\registration.component.ts", "TypeScript", 0, 0, 43, 0, 0, 9, 52
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\rent-history\rent-history.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\rent-history\rent-history.component.html", "HTML", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\rent-history\rent-history.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 6, 24
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\rent-history\rent-history.component.ts", "TypeScript", 0, 0, 10, 0, 0, 3, 13
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\rent\rent.component.css", "CSS", 115, 0, 0, 0, 0, 37, 152
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\rent\rent.component.html", "HTML", 0, 17, 0, 0, 0, 2, 19
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\rent\rent.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 6, 24
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\rent\rent.component.ts", "TypeScript", 0, 0, 62, 0, 0, 6, 68
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\reviews\reviews.component.css", "CSS", 176, 0, 0, 0, 0, 29, 205
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\reviews\reviews.component.html", "HTML", 0, 31, 0, 0, 0, 2, 33
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\reviews\reviews.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 6, 24
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\reviews\reviews.component.ts", "TypeScript", 0, 0, 56, 0, 1, 6, 63
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\service\web-socket.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 5, 17
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\service\web-socket.service.ts", "TypeScript", 0, 0, 59, 0, 0, 12, 71
"c:\Users\Admin\Documents\GitHub\RentallFront\src\assets\search.svg", "XML", 0, 0, 0, 3, 0, 0, 3
"c:\Users\Admin\Documents\GitHub\RentallFront\src\index.html", "HTML", 0, 13, 0, 0, 0, 1, 14
"c:\Users\Admin\Documents\GitHub\RentallFront\src\main.server.ts", "TypeScript", 0, 0, 5, 0, 0, 3, 8
"c:\Users\Admin\Documents\GitHub\RentallFront\src\main.ts", "TypeScript", 0, 0, 5, 0, 0, 3, 8
"c:\Users\Admin\Documents\GitHub\RentallFront\src\styles.css", "CSS", 43, 0, 0, 0, 3, 7, 53
"Total", "-", 713, 509, 1275, 3, 10, 432, 2942
